"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"183",183,25,0,0.9,0.0133928571428571,0.013318931229,0.013402012383,0.013415085885,0.00151244589,0,1.124341247,3.171,0.322,3.107
"184",184,30,0,0.9,0.0133928571428571,0.013175725673,0.013241606853,0.013187078183,0.001426012684,0,1.124478571,3.197,0.305,3.135
"185",185,0,0,1,0.0133928571428571,0.013367378435,0.013389119116,0.013879057419,0.4682010264,0.499124568,45.424303347,100.509,99.063,100.483
"186",186,1,0,1,0.0133928571428571,0.013467028096,0.013364378712,0.01331287956,0.012320625819,0.0132181462,2.189790124,5.564,2.623,5.503
"187",187,5,0,1,0.0133928571428571,0.01332304091,0.0133429391,0.013170955485,2.3197255e-05,2.543034e-05,1.01555295,2.914,0.005,2.864
"188",188,10,0,1,0.0133928571428571,0.013604935684,0.013761975902,0.01364994975,0,0,1.013716107,2.911,0,2.866
"189",189,15,0,1,0.0133928571428571,0.013559875817,0.01326812028,0.013493161727,0,0,1.013861604,2.96,0,2.909
"190",190,20,0,1,0.0133928571428571,0.0133762342,0.013545742161,0.013489762779,0,0,1.013603195,2.893,0,2.843
"191",191,25,0,1,0.0133928571428571,0.013216924224,0.013114467946,0.013472936525,0,0,1.013356256,2.85,0,2.802
"192",192,30,0,1,0.0133928571428571,0.013234681313,0.013284259202,0.012986465822,0,0,1.013410089,2.863,0,2.813
"193",193,0,0,0.5,0.0178571428571429,0.018189822345,0.018224769139,0.018553316155,0.017602854818,0.5019013332,1.999773408,7.664,3.751,7.488
"194",194,1,0,0.5,0.0178571428571429,0.017997778453,0.017900082302,0.018129071635,0.018025669835,0.018288421414,2.000853432,7.559,3.819,7.406
"195",195,5,0,0.5,0.0178571428571429,0.017789797915,0.017995662423,0.017865999118,0.018359017749,7.5106257e-05,1.998260782,7.776,3.933,7.598
"196",196,10,0,0.5,0.0178571428571429,0.017843199756,0.017969161401,0.017932551742,0.017743621648,0,1.998210414,7.493,3.766,7.341
